Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,AbgNr,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
19,160,4,CDU/CSU,10,Abercron,Michael,von,1,0,0,0,0,Dr. Michael von Abercron,
19,160,4,CDU/CSU,20,Albani,Stephan,,1,0,0,0,0,Stephan Albani,
19,160,4,CDU/CSU,30,Altenkamp,Norbert Maria,,1,0,0,0,0,Norbert Maria Altenkamp,
19,160,4,CDU/CSU,40,Altmaier,Peter,,1,0,0,0,0,Peter Altmaier,
19,160,4,CDU/CSU,50,Amthor,Philipp,,1,0,0,0,0,Philipp Amthor,
19,160,4,CDU/CSU,60,Auernhammer,Artur,,1,0,0,0,0,Artur Auernhammer,
19,160,4,CDU/CSU,70,Aumer,Peter,,1,0,0,0,0,Peter Aumer,
19,160,4,CDU/CSU,80,Bär,Dorothee,,1,0,0,0,0,Dorothee Bär,
19,160,4,CDU/CSU,90,Bareiß,Thomas,,1,0,0,0,0,Thomas Bareiß,
19,160,4,CDU/CSU,100,Barthle,Norbert,,1,0,0,0,0,Norbert Barthle,
19,160,4,CDU/CSU,110,Beermann,Maik,,1,0,0,0,0,Maik Beermann,
19,160,4,CDU/CSU,120,Behrens (Börde),Manfred,,1,0,0,0,0,Manfred Behrens (Börde),
19,160,4,CDU/CSU,130,Bellmann,Veronika,,1,0,0,0,0,Veronika Bellmann,
19,160,4,CDU/CSU,140,Benning,Sybille,,0,0,0,0,1,Sybille Benning,
19,160,4,CDU/CSU,150,Berghegger,André,,1,0,0,0,0,Dr. André Berghegger,
19,160,4,CDU/CSU,160,Bernstein,Melanie,,1,0,0,0,0,Melanie Bernstein,
19,160,4,CDU/CSU,170,Bernstiel,Christoph,,1,0,0,0,0,Christoph Bernstiel,
19,160,4,CDU/CSU,180,Beyer,Peter,,1,0,0,0,0,Peter Beyer,
19,160,4,CDU/CSU,190,Biadacz,Marc,,1,0,0,0,0,Marc Biadacz,
19,160,4,CDU/CSU,200,Bilger,Steffen,,1,0,0,0,0,Steffen Bilger,
19,160,4,CDU/CSU,210,Bleser,Peter,,1,0,0,0,0,Peter Bleser,
19,160,4,CDU/CSU,220,Brackmann,Norbert,,1,0,0,0,0,Norbert Brackmann,
19,160,4,CDU/CSU,230,Brand (Fulda),Michael,,0,0,0,0,1,Michael Brand (Fulda),
19,160,4,CDU/CSU,240,Brandl,Reinhard,,1,0,0,0,0,Dr. Reinhard Brandl,
19,160,4,CDU/CSU,260,Braun,Helge,,0,0,0,0,1,Dr. Helge Braun,
19,160,4,CDU/CSU,270,Breher,Silvia,,1,0,0,0,0,Silvia Breher,
19,160,4,CDU/CSU,280,Brehm,Sebastian,,1,0,0,0,0,Sebastian Brehm,
19,160,4,CDU/CSU,290,Brehmer,Heike,,1,0,0,0,0,Heike Brehmer,
19,160,4,CDU/CSU,300,Brinkhaus,Ralph,,1,0,0,0,0,Ralph Brinkhaus,
19,160,4,CDU/CSU,310,Brodesser,Carsten,,1,0,0,0,0,Dr. Carsten Brodesser,
19,160,4,CDU/CSU,320,Connemann,Gitta,,1,0,0,0,0,Gitta Connemann,
19,160,4,CDU/CSU,330,Damerow,Astrid,,1,0,0,0,0,Astrid Damerow,
19,160,4,CDU/CSU,340,Dobrindt,Alexander,,1,0,0,0,0,Alexander Dobrindt,
19,160,4,CDU/CSU,350,Donth,Michael,,1,0,0,0,0,Michael Donth,
19,160,4,CDU/CSU,360,Dött,Marie-Luise,,1,0,0,0,0,Marie-Luise Dött,
19,160,4,CDU/CSU,370,Durz,Hansjörg,,1,0,0,0,0,Hansjörg Durz,
19,160,4,CDU/CSU,380,Erndl,Thomas,,1,0,0,0,0,Thomas Erndl,
19,160,4,CDU/CSU,390,Färber,Hermann,,1,0,0,0,0,Hermann Färber,
19,160,4,CDU/CSU,400,Feiler,Uwe,,1,0,0,0,0,Uwe Feiler,
19,160,4,CDU/CSU,410,Ferlemann,Enak,,1,0,0,0,0,Enak Ferlemann,
19,160,4,CDU/CSU,420,Fischer (Karlsruhe-Land),Axel E.,,1,0,0,0,0,Axel E. Fischer (Karlsruhe-Land),
19,160,4,CDU/CSU,430,Flachsbarth,Maria,,1,0,0,0,0,Dr. Maria Flachsbarth,
19,160,4,CDU/CSU,440,Frei,Thorsten,,1,0,0,0,0,Thorsten Frei,
19,160,4,CDU/CSU,441,Freudenstein,Astrid,,0,0,0,0,1,Dr. Astrid Freudenstein,
19,160,4,CDU/CSU,450,Friedrich (Hof),Hans-Peter,,1,0,0,0,0,Dr. Hans-Peter Friedrich (Hof),
19,160,4,CDU/CSU,460,Frieser,Michael,,1,0,0,0,0,Michael Frieser,
19,160,4,CDU/CSU,470,Fuchtel,Hans-Joachim,,1,0,0,0,0,Hans-Joachim Fuchtel,
19,160,4,CDU/CSU,480,Gädechens,Ingo,,1,0,0,0,0,Ingo Gädechens,
19,160,4,CDU/CSU,490,Gebhart,Thomas,,1,0,0,0,0,Dr. Thomas Gebhart,
19,160,4,CDU/CSU,500,Gerig,Alois,,1,0,0,0,0,Alois Gerig,
19,160,4,CDU/CSU,510,Gienger,Eberhard,,1,0,0,0,0,Eberhard Gienger,
19,160,4,CDU/CSU,520,Gnodtke,Eckhard,,1,0,0,0,0,Eckhard Gnodtke,
19,160,4,CDU/CSU,530,Groden-Kranich,Ursula,,1,0,0,0,0,Ursula Groden-Kranich,
19,160,4,CDU/CSU,540,Gröhe,Hermann,,1,0,0,0,0,Hermann Gröhe,
19,160,4,CDU/CSU,550,Gröhler,Klaus-Dieter,,1,0,0,0,0,Klaus-Dieter Gröhler,
19,160,4,CDU/CSU,560,Grosse-Brömer,Michael,,1,0,0,0,0,Michael Grosse-Brömer,
19,160,4,CDU/CSU,570,Grotelüschen,Astrid,,1,0,0,0,0,Astrid Grotelüschen,
19,160,4,CDU/CSU,580,Grübel,Markus,,1,0,0,0,0,Markus Grübel,
19,160,4,CDU/CSU,590,Grund,Manfred,,1,0,0,0,0,Manfred Grund,
19,160,4,CDU/CSU,600,Grundmann,Oliver,,1,0,0,0,0,Oliver Grundmann,
19,160,4,CDU/CSU,610,Grütters,Monika,,1,0,0,0,0,Monika Grütters,
19,160,4,CDU/CSU,620,Güntzler,Fritz,,1,0,0,0,0,Fritz Güntzler,
19,160,4,CDU/CSU,630,Gutting,Olav,,1,0,0,0,0,Olav Gutting,
19,160,4,CDU/CSU,640,Haase,Christian,,1,0,0,0,0,Christian Haase,
19,160,4,CDU/CSU,650,Hahn,Florian,,1,0,0,0,0,Florian Hahn,
19,160,4,CDU/CSU,670,Hardt,Jürgen,,1,0,0,0,0,Jürgen Hardt,
19,160,4,CDU/CSU,680,Hauer,Matthias,,1,0,0,0,0,Matthias Hauer,
19,160,4,CDU/CSU,690,Hauptmann,Mark,,1,0,0,0,0,Mark Hauptmann,
19,160,4,CDU/CSU,700,Heider,Matthias,,1,0,0,0,0,Dr. Matthias Heider,
19,160,4,CDU/CSU,710,Heil,Mechthild,,1,0,0,0,0,Mechthild Heil,
19,160,4,CDU/CSU,720,Heilmann,Thomas,,1,0,0,0,0,Thomas Heilmann,
19,160,4,CDU/CSU,730,Heinrich (Chemnitz),Frank,,1,0,0,0,0,Frank Heinrich (Chemnitz),
